jmeno;prijmeni;email;telefon;anonymous;fbid;gmid;avatar;popis;stav;heslo;hash;id;datum_zalozeni;datum_upravy
Test;Test;test@test.czzz;"777 888 999";1;;;;;;;;28;1602614854;1602614854
Dendy;Daniels;newuser@localhost;777888999;;;;;;1;$2y$10$6ngcrpWHkmECOrNhvMzOJuUAq6S7pwa6BsvnjWnKgmHsVzVAl77Ki;;27;1595522383;1595522477
Testovací;účet;sedmik@4ws.cz;"777 888 999";1;;;;;0;$2y$10$qQA3pGiA2Eiu6Yt3N62vMuqoOb7qgWhxZA0VywbPM1HOFCNl/DOHS;;26;1594418400;1594422600
Test;Test;sedmik@4ws.czs;"777 888 999";1;;;;;;;;25;1594412873;1594412873
sdgasdg;hsfhdfh;Alpha7@seznam.asfasfqwe;"777 888 999";1;;;;;;;;24;1594410003;1594410003
Test;Test;uff@ff.cz;"777 888 999";1;;;;;;;;23;1594409316;1594409316
Test;Test2;Alpha7@seznam.czasgadg;"777 888 999";1;;;;;;;;22;1594409113;1594409113
Test;Test2;Alpha7@seznam.czasf;"777 888 999";1;;;;;;;;21;1594408889;1594408889
Kgb;Sef;Alpha7@seznam.kgb;"777 888 999";1;;;;;;;;20;1594327642;1594327642
Jakub;Sedmík;test@localhost;777888999;;;;;;1;$2y$10$M6naSQ.iAJW6ULh1SjAeK.oCZ8Zd6yjJt/Adk5B4YmSc1QiUJSSVK;;18;1591203584;1591203584
DjJackieOWalker;Něco;djjackieowalker@gmail.com;+420777888999;;;107992688557773987886;http://localhost/realsys/wp-content/uploads/system_data/gallery_38affa966efb3474d9360a4831df8b0f.png;"nějaké moje BIO";1;$2y$10$xRknAO3c6D7/O5hxU3BE3er62QU1mkGCLYwoIbIYWgYjXBIKVhy0O;;17;1589556429;1589820399
Jan;Gatyas;sedmik@studioseven.cz;777888999;;;116347100005906652755;https://lh3.googleusercontent.com/-tOWr8oVw0R8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckuCpqc-HDw_iyRvuHcQfxJcGq6RQ/s96-c/photo.jpg;;;;;15;1589142837;1589142837
Daniel;Gatyás;daniel@studioseven.cz;777888999;;;108157309920114050752;https://lh5.googleusercontent.com/-VOxcDT9X6Vo/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rerqAiBveMvm3Rj8rmnf7v9wHnrrg/s96-c/photo.jpg;;;;;14;1578253859;1578253859
Test;Test;root@localhost;777888999;;;;;;1;$2y$10$vBBDnItslwfEcycQDX0qseLCoVAYyPBvZ9ZDzuIhdr9WjXTpNQlEO;;13;1578243786;1578245458
Nový;Uživatel;info@studioseven.cz;777888999;;;;;;0;$2y$10$b/jHErqRKcTgKSCmMmXlAu9ByhQLN3A8ILDdhySEktUYW0QomIy8e;;11;1578265200;1583155134
Jakubisko;Sedmík;Alpha7@seznam.cz;"+420 724 855 993";;;;http://localhost/realsys/wp-content/uploads/system_data/gallery_6a76516b69e00f5744e5fdeb46a70917.jpg;"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sollicitudin venenatis arcu et viverra. Pellentesque ac eros sagittis, rhoncus ex eu, varius lectus. Aenean sodales finibus velit eu vestibulum. Vestibulum ut facilisis metus. Nulla blandit, lacus non aliquam hendrerit, pic purus dolor sollicitudin mauris, ut rhoncus dui lacus et dolor. Maecenas mollis, purus sit amet gravida convallis, sapien nunc semper eros, a hendrerit magna ipsum fermentum nisi. Praesent sagittis eget arcu sit amet consectetur. ";1;$2y$10$b4BQRZm1js4Ga.n/yp.aTuZB7bYGTp.FKL2wfPPwKkcVc2h0nD7oC;;4;1571090400;1589554408
Roman;Jarolímek;root@localhost.cz;"777 888 999";;duf;uf;http://localhost/realsys/wp-content/uploads/2019/11/IMG_20191030_212103.jpg;"Je to rebel";1;$2y$10$hk8t96Q8WtmbeXogZBWn0eF8C3QaSpJ61D4W8XWegCY0JyD5zICt2;;3;1571090400;1583155204
Petr;Novák;Jjj@seznam.cz;777888999;;asgfasga5d4g;ds54gds4g;http://localhost/realsys/wp-content/uploads/2019/10/20160817_125720.jpg;"Nic moc";0;;;2;1570312800;1570471267
Jakub;Sedmíček;newuser@localhost.cz;724855993;;554dasfa55;5as4g5dagsd;http://localhost/realsys/wp-content/uploads/2019/10/20160817_125720.jpg;"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi pretium, ipsum sit amet tincidunt gravida, neque elit laoreet elit, ut interdum odio magna non purus. Morbi tincidunt libero at vulputate congue. Duis tincidunt est eros, at tincidunt justo ultrices non. Nulla accumsan dapibus sodales. Suspendisse eu faucibus urna. Proin ut turpis bibendum nisi efficitur scelerisque eget ac nunc. Donec enim tortor, gravida nec erat in, tempor varius enim. Morbi eget sapien id nulla convallis faucibus. Ut vel diam rhoncus arcu tincidunt tincidunt. Mauris malesuada libero non nisl faucibus pulvinar. Nulla varius convallis justo, in posuere eros luctus eget. Vestibulum euismod justo ut semper vestibulum. Mauris dapibus ornare velit, in vulputate nibh tincidunt vitae.";1;$2y$10$RkdUjPc3wwu9Ug9aqR5j7etCctG/1e3o2fMdbOG2R2yX1hiR7H9xO;82e7dc208c162a53de61bfe62433e60b;1;1571954400;1593456924
admin;admin;admin@szukajdom.pl;777888999;;;;;;0;admin;admin;0;;
